"month","day","rise","rise_day","set","set_day","rise_date","set_date","utc_offset"
"5","15","0714","SAME","1715","SAME","2018-05-15 07:14:00","2018-05-15 17:15:00","UTC+10:00"
"5","16","0715","SAME","1715","SAME","2018-05-16 07:15:00","2018-05-16 17:15:00","UTC+10:00"
"5","17","0716","SAME","1714","SAME","2018-05-17 07:16:00","2018-05-17 17:14:00","UTC+10:00"
"5","18","0717","SAME","1713","SAME","2018-05-18 07:17:00","2018-05-18 17:13:00","UTC+10:00"
"5","19","0717","SAME","1712","SAME","2018-05-19 07:17:00","2018-05-19 17:12:00","UTC+10:00"
"5","20","0718","SAME","1711","SAME","2018-05-20 07:18:00","2018-05-20 17:11:00","UTC+10:00"
"5","21","0719","SAME","1711","SAME","2018-05-21 07:19:00","2018-05-21 17:11:00","UTC+10:00"
"5","22","0720","SAME","1710","SAME","2018-05-22 07:20:00","2018-05-22 17:10:00","UTC+10:00"
"5","23","0721","SAME","1709","SAME","2018-05-23 07:21:00","2018-05-23 17:09:00","UTC+10:00"
"5","24","0722","SAME","1709","SAME","2018-05-24 07:22:00","2018-05-24 17:09:00","UTC+10:00"
"5","25","0722","SAME","1708","SAME","2018-05-25 07:22:00","2018-05-25 17:08:00","UTC+10:00"
"5","26","0723","SAME","1707","SAME","2018-05-26 07:23:00","2018-05-26 17:07:00","UTC+10:00"
"5","27","0724","SAME","1707","SAME","2018-05-27 07:24:00","2018-05-27 17:07:00","UTC+10:00"
"5","28","0725","SAME","1706","SAME","2018-05-28 07:25:00","2018-05-28 17:06:00","UTC+10:00"
"5","29","0725","SAME","1706","SAME","2018-05-29 07:25:00","2018-05-29 17:06:00","UTC+10:00"
"5","30","0726","SAME","1705","SAME","2018-05-30 07:26:00","2018-05-30 17:05:00","UTC+10:00"
"5","31","0727","SAME","1705","SAME","2018-05-31 07:27:00","2018-05-31 17:05:00","UTC+10:00"
"6","1","0728","SAME","1705","SAME","2018-06-01 07:28:00","2018-06-01 17:05:00","UTC+10:00"
"6","2","0728","SAME","1704","SAME","2018-06-02 07:28:00","2018-06-02 17:04:00","UTC+10:00"
"6","3","0729","SAME","1704","SAME","2018-06-03 07:29:00","2018-06-03 17:04:00","UTC+10:00"
"6","4","0730","SAME","1704","SAME","2018-06-04 07:30:00","2018-06-04 17:04:00","UTC+10:00"
"6","5","0730","SAME","1703","SAME","2018-06-05 07:30:00","2018-06-05 17:03:00","UTC+10:00"
"6","6","0731","SAME","1703","SAME","2018-06-06 07:31:00","2018-06-06 17:03:00","UTC+10:00"
"6","7","0731","SAME","1703","SAME","2018-06-07 07:31:00","2018-06-07 17:03:00","UTC+10:00"
"6","8","0732","SAME","1703","SAME","2018-06-08 07:32:00","2018-06-08 17:03:00","UTC+10:00"
"6","9","0732","SAME","1702","SAME","2018-06-09 07:32:00","2018-06-09 17:02:00","UTC+10:00"
"6","10","0733","SAME","1702","SAME","2018-06-10 07:33:00","2018-06-10 17:02:00","UTC+10:00"
"6","11","0733","SAME","1702","SAME","2018-06-11 07:33:00","2018-06-11 17:02:00","UTC+10:00"
"6","12","0734","SAME","1702","SAME","2018-06-12 07:34:00","2018-06-12 17:02:00","UTC+10:00"
"6","13","0734","SAME","1702","SAME","2018-06-13 07:34:00","2018-06-13 17:02:00","UTC+10:00"
"6","14","0735","SAME","1702","SAME","2018-06-14 07:35:00","2018-06-14 17:02:00","UTC+10:00"
"6","15","0735","SAME","1702","SAME","2018-06-15 07:35:00","2018-06-15 17:02:00","UTC+10:00"
"6","16","0736","SAME","1702","SAME","2018-06-16 07:36:00","2018-06-16 17:02:00","UTC+10:00"
"6","17","0736","SAME","1702","SAME","2018-06-17 07:36:00","2018-06-17 17:02:00","UTC+10:00"
"6","18","0736","SAME","1702","SAME","2018-06-18 07:36:00","2018-06-18 17:02:00","UTC+10:00"
"6","19","0737","SAME","1703","SAME","2018-06-19 07:37:00","2018-06-19 17:03:00","UTC+10:00"
"6","20","0737","SAME","1703","SAME","2018-06-20 07:37:00","2018-06-20 17:03:00","UTC+10:00"
"6","21","0737","SAME","1703","SAME","2018-06-21 07:37:00","2018-06-21 17:03:00","UTC+10:00"
"6","22","0737","SAME","1703","SAME","2018-06-22 07:37:00","2018-06-22 17:03:00","UTC+10:00"
"6","23","0737","SAME","1703","SAME","2018-06-23 07:37:00","2018-06-23 17:03:00","UTC+10:00"
"6","24","0738","SAME","1704","SAME","2018-06-24 07:38:00","2018-06-24 17:04:00","UTC+10:00"
"6","25","0738","SAME","1704","SAME","2018-06-25 07:38:00","2018-06-25 17:04:00","UTC+10:00"
"6","26","0738","SAME","1704","SAME","2018-06-26 07:38:00","2018-06-26 17:04:00","UTC+10:00"
"6","27","0738","SAME","1705","SAME","2018-06-27 07:38:00","2018-06-27 17:05:00","UTC+10:00"
"6","28","0738","SAME","1705","SAME","2018-06-28 07:38:00","2018-06-28 17:05:00","UTC+10:00"
"6","29","0738","SAME","1705","SAME","2018-06-29 07:38:00","2018-06-29 17:05:00","UTC+10:00"
"6","30","0738","SAME","1706","SAME","2018-06-30 07:38:00","2018-06-30 17:06:00","UTC+10:00"
"7","1","0738","SAME","1706","SAME","2018-07-01 07:38:00","2018-07-01 17:06:00","UTC+10:00"
"7","2","0738","SAME","1707","SAME","2018-07-02 07:38:00","2018-07-02 17:07:00","UTC+10:00"
"7","3","0738","SAME","1707","SAME","2018-07-03 07:38:00","2018-07-03 17:07:00","UTC+10:00"
"7","4","0738","SAME","1708","SAME","2018-07-04 07:38:00","2018-07-04 17:08:00","UTC+10:00"
"7","5","0737","SAME","1708","SAME","2018-07-05 07:37:00","2018-07-05 17:08:00","UTC+10:00"
"7","6","0737","SAME","1709","SAME","2018-07-06 07:37:00","2018-07-06 17:09:00","UTC+10:00"
"7","7","0737","SAME","1709","SAME","2018-07-07 07:37:00","2018-07-07 17:09:00","UTC+10:00"
"7","8","0737","SAME","1710","SAME","2018-07-08 07:37:00","2018-07-08 17:10:00","UTC+10:00"
"7","9","0736","SAME","1711","SAME","2018-07-09 07:36:00","2018-07-09 17:11:00","UTC+10:00"
"7","10","0736","SAME","1711","SAME","2018-07-10 07:36:00","2018-07-10 17:11:00","UTC+10:00"
"7","11","0736","SAME","1712","SAME","2018-07-11 07:36:00","2018-07-11 17:12:00","UTC+10:00"
"7","12","0735","SAME","1713","SAME","2018-07-12 07:35:00","2018-07-12 17:13:00","UTC+10:00"
"7","13","0735","SAME","1713","SAME","2018-07-13 07:35:00","2018-07-13 17:13:00","UTC+10:00"
"7","14","0734","SAME","1714","SAME","2018-07-14 07:34:00","2018-07-14 17:14:00","UTC+10:00"
"7","15","0734","SAME","1715","SAME","2018-07-15 07:34:00","2018-07-15 17:15:00","UTC+10:00"
"7","16","0733","SAME","1715","SAME","2018-07-16 07:33:00","2018-07-16 17:15:00","UTC+10:00"
"7","17","0733","SAME","1716","SAME","2018-07-17 07:33:00","2018-07-17 17:16:00","UTC+10:00"
"7","18","0732","SAME","1717","SAME","2018-07-18 07:32:00","2018-07-18 17:17:00","UTC+10:00"
"7","19","0732","SAME","1718","SAME","2018-07-19 07:32:00","2018-07-19 17:18:00","UTC+10:00"
"7","20","0731","SAME","1718","SAME","2018-07-20 07:31:00","2018-07-20 17:18:00","UTC+10:00"
"7","21","0730","SAME","1719","SAME","2018-07-21 07:30:00","2018-07-21 17:19:00","UTC+10:00"
"7","22","0730","SAME","1720","SAME","2018-07-22 07:30:00","2018-07-22 17:20:00","UTC+10:00"
"7","23","0729","SAME","1721","SAME","2018-07-23 07:29:00","2018-07-23 17:21:00","UTC+10:00"
"7","24","0728","SAME","1722","SAME","2018-07-24 07:28:00","2018-07-24 17:22:00","UTC+10:00"
"7","25","0727","SAME","1722","SAME","2018-07-25 07:27:00","2018-07-25 17:22:00","UTC+10:00"
"7","26","0727","SAME","1723","SAME","2018-07-26 07:27:00","2018-07-26 17:23:00","UTC+10:00"
"7","27","0726","SAME","1724","SAME","2018-07-27 07:26:00","2018-07-27 17:24:00","UTC+10:00"
"7","28","0725","SAME","1725","SAME","2018-07-28 07:25:00","2018-07-28 17:25:00","UTC+10:00"
"7","29","0724","SAME","1726","SAME","2018-07-29 07:24:00","2018-07-29 17:26:00","UTC+10:00"
"7","30","0723","SAME","1727","SAME","2018-07-30 07:23:00","2018-07-30 17:27:00","UTC+10:00"
"7","31","0722","SAME","1727","SAME","2018-07-31 07:22:00","2018-07-31 17:27:00","UTC+10:00"
"8","1","0721","SAME","1728","SAME","2018-08-01 07:21:00","2018-08-01 17:28:00","UTC+10:00"
"8","2","0720","SAME","1729","SAME","2018-08-02 07:20:00","2018-08-02 17:29:00","UTC+10:00"
"8","3","0719","SAME","1730","SAME","2018-08-03 07:19:00","2018-08-03 17:30:00","UTC+10:00"
